Stock Item Record ID,Description,Department,Category,UPC Code,Store Code,Price,Discountable,Taxable,Inventory Method,Cost,Assigned Cost,Quantity on Hand,Order Trigger,Recommended Order,Last Sold Date,Supplier,Liability Item,Liability Redemption Tender
5583016,Gratuity,general,general,,4.1E+11,0,FALSE,FALSE,untracked,,0,0,0,0,,not tracked,N,
5629871,Apple  Fuji,general,general,,4E+11,1,TRUE,TRUE,tracked,0,,-11,10,20,4/30/2014 23:56,Buffalo Trail Orchard,N,
5629872,Apple  Pink Lady,general,general,,4E+11,1,TRUE,TRUE,tracked,0,,-7,10,20,5/19/2014 13:45,Buffalo Trail Orchard,N,
5629873,Apples  Dried,general,general,,4E+11,0.75,TRUE,TRUE,tracked,0,,3,10,20,5/19/2014 14:35,Buffalo Trail Orchard,N,
5629874,BeefBrisket,general,general,,4E+11,5.99,TRUE,TRUE,tracked,0,,0,10,20,,Shiny C Farm,N,
5629875,BeefChuck Roast,general,general,,4E+11,5.99,TRUE,TRUE,tracked,0,,-2,10,20,5/27/2014 18:36,Shiny C Farm,N,
5629876,BeefCube Steak,general,general,,4E+11,3.96,TRUE,TRUE,tracked,0,,1,10,20,,Shiny C Farm,N,
5629877,BeefGround,general,general,,4E+11,4.38,TRUE,TRUE,tracked,0,,0,10,20,,Shiny C Farm,N,
5629878,BeefLiver,general,general,,4E+11,1.98,TRUE,TRUE,tracked,0,,0,10,20,5/27/2014 18:39,Shiny C Farm,N,
5629879,BeefNew York Strip Steak,general,general,,4E+11,12.83,TRUE,TRUE,tracked,0,,0,10,20,,Shiny C Farm,N,
5629880,BeefPatties,general,general,,4E+11,4.29,TRUE,TRUE,tracked,0,,0,10,20,,Shiny C Farm,N,
5629881,BeefRibeye Steak,general,general,,4E+11,11.99,TRUE,TRUE,tracked,0,,1,10,20,,Shiny C Farm,N,
5629882,BeefSirloin Roast,general,general,,4E+11,5.99,TRUE,TRUE,tracked,0,,0,10,20,,Shiny C Farm,N,
5629883,BeefSirloin Steak,general,general,,4E+11,6.69,TRUE,TRUE,tracked,0,,0,10,20,,Shiny C Farm,N,
5629884,BeefTips,general,general,,4E+11,4.99,TRUE,TRUE,tracked,0,,0,10,20,,Shiny C Farm,N,
5629885,Blackberries  Frozen (Tame),general,general,,4E+11,3.75,TRUE,TRUE,tracked,0,,-25,10,20,5/19/2014 20:20,Buffalo Trail Orchard,N,
5629886,Blueberries  Frozen,general,general,,4E+11,6,TRUE,TRUE,tracked,0,,-32,10,20,5/19/2014 20:20,Buffalo Trail Orchard,N,
5629887,Bread  Woodfired Peacock Roll,general,general,,4E+11,6.66,TRUE,TRUE,tracked,0,,9,10,20,,Peacock Artisan Breads,N,
5629888,BreadCinnamon Raisin,general,general,,4E+11,8,TRUE,TRUE,tracked,0,,10,10,20,,Peacock Artisan Breads,N,
5629889,BreadCranberry Walnut,general,general,,4E+11,6.4,TRUE,TRUE,tracked,0,,5,10,20,5/27/2014 18:38,Peacock Artisan Breads,N,
5629890,BreadMultigrain Harvest,general,general,,4E+11,4.8,TRUE,TRUE,tracked,0,,6,10,20,5/27/2014 19:14,Good Fork Farm,N,
5629891,BreadState of Franklin Sourdough,general,general,,4E+11,4,TRUE,TRUE,tracked,0,,3,10,20,,Good Fork Farm,N,
5629892,BreadWoodfired Apple Butter with Apple Ring,general,general,,4E+11,8,TRUE,TRUE,tracked,0,,10,10,20,,Peacock Artisan Breads,N,
5629893,BreadWoodfired Sourdough Rye,general,general,,4E+11,3.33,TRUE,TRUE,tracked,0,,9,10,20,,Peacock Artisan Breads,N,
5629894,BreadWoodfired Sourdough Rye and Swiss,general,general,,4E+11,6.66,TRUE,TRUE,tracked,0,,-6,10,20,5/27/2014 18:38,Peacock Artisan Breads,N,
5629895,BreadWoodfired Sourdough Wheat,general,general,,4E+11,3.33,TRUE,TRUE,tracked,0,,9,10,20,,Peacock Artisan Breads,N,
5629896,BreadWoodfired Sourdough White,general,general,,4E+11,3.33,TRUE,TRUE,tracked,0,,10,10,20,,Peacock Artisan Breads,N,
